jogador,time,posicao,Minutos,GA,SoTA,Saves,Saves%,Clean Sheet,Clean Sheet%,PSxG,PSxG+/-,Passes Att,Passes Launch%,Passes AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Cluster,Perfil,GA_Pontuacao,Saves_Pontuacao,Clean Sheet_Pontuacao,PSxG_Pontuacao,Passes Launch%_Pontuacao,Crosses Stp%_Pontuacao,Sweeper #OPA_Pontuacao,Pontuacao_Total,Pontuacao
Bento,Ath Paranaense,GK,630,4,25,20,84.0,4,57.1,6.5,2.5,123,39.8,34.8,86,6,7.0,2,0.29,11.3,2,goleiros liberos,-20,40,40,32.5,119.39999999999999,35.0,10,256.9,17.354035257965386
Leonardo Linck,Ath Paranaense,GK,1223,21,65,44,67.7,1,7.1,18.5,-2.5,276,40.2,36.3,200,10,5.0,10,0.74,11.3,2,goleiros liberos,-105,88,10,92.5,120.60000000000001,25.0,50,281.1,21.26799288371341
Mycael,Ath Paranaense,GK,1565,21,83,60,74.7,4,23.5,23.5,2.5,273,49.5,38.6,250,4,1.6,5,0.29,10.2,2,goleiros liberos,-105,120,40,117.5,148.5,8.0,25,354.0,33.058385896813846
Ronaldo,Atl Goianiense,GK,2879,45,141,95,70.9,6,18.8,42.6,-0.4,647,39.4,36.2,436,37,8.5,25,0.78,13.3,3,goleiros solidos,-225,190,60,213.0,118.19999999999999,42.5,125,523.7,60.50460941290636
Matheus Mendes,Atlético Mineiro,GK,1087,22,67,44,68.7,1,8.3,25.8,3.8,252,20.6,26.4,166,9,5.4,14,1.16,15.1,4,goleiros reservas,-110,88,10,129.0,61.800000000000004,27.0,70,275.8,20.41080381691736
Éverson,Atlético Mineiro,GK,2242,31,95,64,71.6,8,32.0,29.8,-0.2,622,28.8,30.8,310,11,3.5,22,0.88,15.2,4,goleiros reservas,-155,128,80,149.0,86.4,17.5,110,415.9,43.06970726184699
Marcos Felipe,Bahia,GK,2996,43,150,106,72.7,9,26.5,42.0,-1.0,1069,21.8,27.7,473,48,10.1,71,2.13,17.5,0,goleiros cross,-215,212,90,210.0,65.4,50.5,355,767.9,100.0
John,Botafogo (RJ),GK,3060,25,117,91,82.9,16,47.1,33.0,8.0,884,26.5,30.7,432,24,5.6,46,1.35,16.7,0,goleiros cross,-125,182,160,165.0,79.5,28.0,230,719.5,92.17208474850396
Hugo Souza,Corinthians,GK,1980,23,96,73,80.2,7,31.8,28.4,5.4,443,34.3,33.7,307,15,4.9,14,0.64,12.9,4,goleiros reservas,-115,146,70,142.0,102.89999999999999,24.5,70,440.4,47.0321850234514
Matheus Donelli,Corinthians,GK,630,12,40,27,72.5,0,0.0,10.2,-1.8,145,31.7,31.3,113,1,0.9,1,0.14,12.1,2,goleiros liberos,-60,54,0,51.0,95.1,4.5,5,149.6,0.0
