jogador,time,posicao,idade,Minutos,Prgc,PrgP,xAG,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Cross,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels ,Cluster,Perfil,Prgc_Pontuacao,PrgP_Pontuacao,xAG_Pontuacao,Fouls_Pontuacao,Yellow Card_Pontuacao,Red Card_Pontuacao,Cross_Pontuacao,Desarmes Certos_Pontuacao,Interceptacao_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Fernando,Ath Paranaense,DF,24,724,14,36,0.5,60.0,15,10,13,4,0,0,31,6,14,42.9,18,0,60.0% (15/10),3,Laterais criativos,28,72,5.0,-39,-20,0,310,60,90,0,506.0,15.583075335397318
Kaique Rocha,Ath Paranaense,DF,22,2486,11,84,1.3,76.3,74,23,19,3,0,0,5,26,40,65.0,37,2,76.3% (74/23),2,Laterais aereo,22,168,13.0,-57,-15,0,50,260,185,-4,622.0,19.5734434124527
Leonardo Godoy,Ath Paranaense,DF,28,1639,16,61,1.0,39.4,13,20,32,5,0,0,50,8,18,44.4,11,0,39.4% (13/20),4,Laterais equilibrados,32,122,10.0,-96,-25,0,500,80,55,0,678.0,21.499828001375988
Lucas Belezi,Ath Paranaense,DF,20,793,3,15,0.1,68.8,22,10,6,2,0,0,2,7,10,70.0,13,0,68.8% (22/10),3,Laterais criativos,6,30,1.0,-18,-10,0,20,70,65,0,164.0,3.8183694530443755
Lucas Esquivel,Ath Paranaense,DF,22,2720,57,178,4.5,69.8,37,16,32,5,1,1,135,33,67,49.3,35,0,69.8% (37/16),1,Laterais moderno,114,356,45.0,-96,-25,-10,1350,330,175,0,2239.0,75.19779841761266
Mateo Gamarra,Ath Paranaense,DF,23,1482,4,59,0.2,58.5,48,34,15,7,0,0,3,17,31,54.8,25,1,58.5% (48/34),2,Laterais aereo,8,118,2.0,-45,-35,0,30,170,125,-2,371.0,10.939112487100102
Mádson,Ath Paranaense,DF,32,975,11,34,1.4,56.7,34,26,7,3,0,0,25,3,8,37.5,14,0,56.7% (34/26),3,Laterais criativos,22,68,14.0,-21,-15,0,250,30,70,0,418.0,12.555899552803579
Thiago Heleno,Ath Paranaense,DF,35,2278,0,58,0.8,62.5,65,39,23,6,1,0,0,10,19,52.6,32,1,62.5% (65/39),2,Laterais aereo,0,116,8.0,-69,-30,-10,0,100,160,-2,273.0,7.567939456484347
Adriano Martins,Atl Goianiense,DF,26,2990,24,106,0.1,58.9,53,37,34,7,0,0,7,20,33,60.6,54,1,58.9% (53/37),2,Laterais aereo,48,212,1.0,-102,-35,0,70,200,270,-2,662.0,20.94943240454076
Alix Vinicius,Atl Goianiense,DF,24,2042,11,69,0.7,60.2,56,37,22,6,2,1,1,19,30,63.3,33,2,60.2% (56/37),5,Laterais fisico,22,138,7.0,-66,-30,-20,10,190,165,-4,412.0,12.349501203990368
Bruno Tubarão,Atl Goianiense,DF,28,1586,49,107,1.2,59.0,23,16,15,4,1,1,70,15,26,57.7,16,0,59.0% (23/16),4,Laterais equilibrados,98,214,12.0,-45,-20,-10,700,150,80,0,1179.0,38.73409012727898
Guilherme Romão,Atl Goianiense,DF,26,2766,68,127,2.8,55.5,66,53,23,5,0,0,66,12,23,52.2,30,0,55.5% (66/53),4,Laterais equilibrados,136,254,28.0,-69,-25,0,660,120,150,0,1254.0,41.3140694874441
Luiz Felipe,Atl Goianiense,DF,30,1090,2,20,0.0,69.2,27,12,21,5,1,0,1,10,17,58.8,16,0,69.2% (27/12),3,Laterais criativos,4,40,0.0,-63,-25,-10,10,100,80,0,136.0,2.8551771585827312
Maguinho,Atl Goianiense,DF,31,1559,29,52,1.2,50.9,29,28,32,4,1,0,60,12,19,63.2,17,0,50.9% (29/28),4,Laterais equilibrados,58,104,12.0,-96,-20,-10,600,120,85,0,853.0,27.519779841761267
Bruno Fuchs,Atlético Mineiro,DF,24,2031,22,136,1.9,61.4,35,22,24,9,1,1,14,29,38,76.3,29,0,61.4% (35/22),5,Laterais fisico,44,272,19.0,-72,-45,-10,140,290,145,0,783.0,25.111799105607158
Guilherme Arana,Atlético Mineiro,DF,26,1303,43,94,1.0,42.9,12,16,14,5,0,0,70,10,20,50.0,18,0,42.9% (12/16),4,Laterais equilibrados,86,188,10.0,-42,-25,0,700,100,90,0,1107.0,36.25730994152047
Igor Rabello,Atlético Mineiro,DF,28,966,2,21,0.2,62.3,38,23,14,3,1,0,1,11,17,64.7,15,0,62.3% (38/23),3,Laterais criativos,4,42,2.0,-42,-15,-10,10,110,75,0,176.0,4.231166150670795
Júnior Alonso,Atlético Mineiro,DF,30,1046,16,50,0.0,65.6,40,21,16,2,0,0,6,10,20,50.0,14,0,65.6% (40/21),3,Laterais criativos,32,100,0.0,-48,-10,0,60,100,70,0,304.0,8.634330925352597
Lyanco,Atlético Mineiro,DF,26,920,9,37,0.2,44.1,15,19,23,8,1,1,11,8,11,72.7,18,1,44.1% (15/19),5,Laterais fisico,18,74,2.0,-69,-40,-10,110,80,90,-2,253.0,6.879944960440317
Mariano,Atlético Mineiro,DF,37,636,6,37,0.6,61.5,8,5,7,5,1,1,14,8,17,47.1,5,0,61.5% (8/5),3,Laterais criativos,12,74,6.0,-21,-25,-10,140,80,25,0,281.0,7.8431372549019605
Renzo Saravia,Atlético Mineiro,DF,30,2291,47,157,1.1,53.4,31,27,43,3,0,0,60,45,90,50.0,25,0,53.4% (31/27),0,Laterais protetores,94,314,11.0,-129,-15,0,600,450,125,0,1450.0,48.056415548675616
Gabriel,Bahia,DF,22,3150,20,115,0.2,73.9,136,48,41,8,0,0,3,29,41,70.7,57,2,73.9% (136/48),2,Laterais aereo,40,230,2.0,-123,-40,0,30,290,285,-4,710.0,22.60061919504644
Gilberto,Bahia,DF,30,1367,62,78,1.4,63.3,19,11,11,2,0,0,54,30,44,68.2,10,0,63.3% (19/11),4,Laterais equilibrados,124,156,14.0,-33,-10,0,540,300,50,0,1141.0,37.42690058479532
Kanu,Bahia,DF,26,2700,18,78,0.0,56.5,48,37,34,12,0,0,0,18,25,72.0,33,2,56.5% (48/37),2,Laterais aereo,36,156,0.0,-102,-60,0,0,180,165,-4,371.0,10.939112487100102
Luciano Juba,Bahia,DF,24,3114,46,149,4.2,49.2,29,30,7,2,0,0,117,35,65,53.8,52,0,49.2% (29/30),1,Laterais moderno,92,298,42.0,-21,-10,0,1170,350,260,0,2181.0,73.20261437908496
Santiago Arias,Bahia,DF,32,1884,57,115,3.1,45.9,17,20,25,2,1,0,67,22,36,61.1,20,1,45.9% (17/20),1,Laterais moderno,114,230,31.0,-75,-10,-10,670,220,100,-2,1268.0,41.795665634674926
Alexander Barboza,Botafogo (RJ),DF,28,2033,14,90,1.0,69.0,78,35,41,11,2,1,4,17,24,70.8,30,0,69.0% (78/35),5,Laterais fisico,28,180,10.0,-123,-55,-20,40,170,150,0,380.0,11.248710010319918
Bastos,Botafogo (RJ),DF,32,2628,12,111,0.1,67.9,55,26,35,6,0,0,4,19,30,63.3,31,1,67.9% (55/26),2,Laterais aereo,24,222,1.0,-105,-30,0,40,190,155,-2,495.0,15.204678362573098
Cuiabano,Botafogo (RJ),DF,20,1476,37,40,1.4,57.1,28,21,31,5,0,0,114,22,33,66.7,23,0,57.1% (28/21),4,Laterais equilibrados,74,80,14.0,-93,-25,0,1140,220,115,0,1525.0,50.63639490884073
Damián Suárez,Botafogo (RJ),DF,35,1244,22,37,1.6,50.0,8,8,26,5,0,0,51,19,41,46.3,9,0,50.0% (8/8),4,Laterais equilibrados,44,74,16.0,-78,-25,0,510,190,45,0,776.0,24.871001031991742
Fernando Marçal,Botafogo (RJ),DF,34,1014,18,59,0.7,65.9,27,14,27,5,0,0,53,10,22,45.5,22,0,65.9% (27/14),4,Laterais equilibrados,36,118,7.0,-81,-25,0,530,100,110,0,795.0,25.524595803233574
Lucas Halter,Botafogo (RJ),DF,23,1353,8,42,0.1,46.2,18,21,19,4,0,0,0,9,20,45.0,11,2,46.2% (18/21),3,Laterais criativos,16,84,1.0,-57,-20,0,0,90,55,-4,165.0,3.8527691778465774
