jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas,Cluster,Perfil,xG_Pontuacao,xAG_Pontuacao,G-PK_Pontuacao,Assistencias_Pontuacao,Acoes Ofensivas_Pontuacao,Key_Pass_Pontuacao,Passing 1/3_Pontuacao,Cross_Pontuacao,%Dribles_Pontuacao,Pontuacao_Total,Pontuacao
Agustín Canobbio,Ath Paranaense,"FW,MF",1215,3.5,2.5,4,1,47,57,23,30,36,44,16,,25.365853658536587,2,mei assist,3.8500000000000005,4.625,7.2,2,30.4390243902439,34.5,33.0,36.0,,151.6140243902439,18.614798665073934
Bruno Zapelli,Ath Paranaense,"MF,FW",1412,3.7,4.7,0,5,37,82,47,49,93,55,30,,29.024390243902438,0,construtores diretos,4.07,8.695,0.0,10,34.829268292682926,70.5,53.900000000000006,93.0,,274.99426829268293,35.453967903120486
Christian,Ath Paranaense,"MF,FW",1507,1.8,1.8,1,0,15,58,14,37,28,24,9,,17.804878048780488,1,mei apoio,1.9800000000000002,3.33,1.8,0,21.365853658536583,21.0,40.7,28.0,,118.17585365853658,14.051093827473238
Fernandinho,Ath Paranaense,MF,1551,1.6,2.4,1,3,39,168,37,138,48,23,11,,50.48780487804878,5,dribladores_cross,1.7600000000000002,4.44,1.8,6,60.58536585365853,55.5,151.8,48.0,,329.8853658536585,42.945608803281814
Filipinho,Ath Paranaense,MF,923,0.6,0.2,0,0,7,16,5,14,8,22,13,,5.609756097560976,1,mei apoio,0.66,0.37000000000000005,0.0,0,6.731707317073171,7.5,15.400000000000002,8.0,,38.66170731707317,3.1988526200279184
Gabriel,Ath Paranaense,MF,1431,0.4,0.3,1,2,17,103,12,90,6,5,1,,29.268292682926827,4,finalizadores criativos,0.44000000000000006,0.555,1.8,4,35.12195121951219,18.0,99.00000000000001,6.0,,164.9169512195122,20.430407300250014
Gonzalo Mastriani,Ath Paranaense,FW,900,3.9,0.9,4,0,2,17,9,11,3,12,1,,4.634146341463414,1,mei apoio,4.29,1.665,7.2,0,5.560975609756097,13.5,12.100000000000001,3.0,,47.315975609756094,4.380003538542735
João Machado Cruz,Ath Paranaense,"MF,FW",838,0.7,1.0,1,2,22,37,23,25,61,13,5,,14.390243902439023,1,mei apoio,0.77,1.85,1.8,4,17.268292682926827,34.5,27.500000000000004,61.0,,148.68829268292683,18.215489263452163
Julimar,Ath Paranaense,"FW,MF",1665,5.7,2.3,6,2,83,43,27,20,43,62,31,,30.73170731707317,0,construtores diretos,6.2700000000000005,4.255,10.8,4,36.8780487804878,40.5,22.0,43.0,,167.7030487804878,20.810659169261346
Lucas Di Yorio,Ath Paranaense,FW,799,4.0,0.2,3,0,15,10,5,7,9,14,7,,6.097560975609756,1,mei apoio,4.4,0.37000000000000005,5.4,0,7.317073170731707,7.5,7.700000000000001,9.0,,41.68707317073171,3.6117602785428993
Nikão,Ath Paranaense,"FW,MF",1624,3.6,2.9,6,2,32,89,50,59,82,30,14,,29.51219512195122,2,mei assist,3.9600000000000004,5.365,10.8,4,35.41463414634146,75.0,64.9,82.0,,281.43963414634146,36.33364363545819
Pablo,Ath Paranaense,"FW,MF",1703,3.7,1.8,3,2,12,52,23,20,4,10,7,,15.609756097560975,1,mei apoio,4.07,3.33,5.4,4,18.73170731707317,34.5,22.0,4.0,,96.03170731707317,11.028818817457632
Tomás Cuello,Ath Paranaense,"FW,MF",2010,2.8,4.2,3,5,102,88,43,54,116,126,64,,46.34146341463415,0,construtores diretos,3.08,7.7700000000000005,5.4,10,55.609756097560975,64.5,59.400000000000006,116.0,,321.75975609756097,41.836610202554105
Alejo Cruz,Atl Goianiense,"FW,MF",2156,2.4,3.7,1,2,69,115,68,86,181,60,26,,44.87804878048781,3,mei completos,2.64,6.845000000000001,1.8,4,53.85365853658537,102.0,94.60000000000001,181.0,,446.7386585365854,58.89396738382353
Derek,Atl Goianiense,FW,986,3.8,1.9,3,1,20,17,14,9,4,31,11,,9.024390243902438,1,mei apoio,4.18,3.515,5.4,2,10.829268292682926,21.0,9.9,4.0,,60.82426829268292,6.223640894169442
Emiliano Rodríguez,Atl Goianiense,FW,1096,2.8,0.5,0,0,10,13,11,12,7,28,9,,5.609756097560976,1,mei apoio,3.08,0.925,0.0,0,6.731707317073171,16.5,13.200000000000001,7.0,,47.43670731707317,4.396481230494116
Gabriel Baralhas,Atl Goianiense,MF,2452,2.4,2.4,1,3,22,121,29,97,12,40,15,,34.8780487804878,4,finalizadores criativos,2.64,4.44,1.8,6,41.853658536585364,43.5,106.7,12.0,,218.93365853658537,27.802709764763474
Gonzalo Freitas,Atl Goianiense,MF,820,0.5,0.2,0,0,2,27,1,22,1,4,3,,7.073170731707316,1,mei apoio,0.55,0.37000000000000005,0.0,0,8.48780487804878,1.5,24.200000000000003,1.0,,36.10780487804878,2.8502911807897404
Jan Carlos Hurtado,Atl Goianiense,FW,865,1.7,0.6,2,0,9,15,6,7,1,19,8,,5.853658536585367,1,mei apoio,1.87,1.11,3.6,0,7.02439024390244,9.0,7.700000000000001,1.0,,31.30439024390244,2.1947120589908025
Janderson,Atl Goianiense,"FW,MF",962,2.5,1.0,3,0,35,43,18,14,79,48,14,,19.024390243902438,1,mei apoio,2.75,1.85,5.4,0,22.829268292682926,27.0,15.400000000000002,79.0,,154.22926829268295,18.97173210335408
