jogador,time,posicao,idade,Minutos,G-PK,Assist,Xg,xAG,xG+xAg,Prgc,PrgP,Cross,Faltas Sofridas,KeyPass,1/3,passPA,crossPA,Dribles tentados,Dribles Certos,Corridas 1/3,Corridas PA,PrgR,Cluster,Perfil,xG+xAg_Pontuacao,KeyPass_Pontuacao,Cross_Pontuacao,1/3_Pontuacao,Dribles Certos_Pontuacao,Corridas 1/3_Pontuacao,Corridas PA_Pontuacao,passPA_Pontuacao,crossPA_Pontuacao,Pontuacao_Total,Pontuacao
Agustín Canobbio,Ath Paranaense,"FW,MF",25,1215,4,1,3.5,2.5,5.9,47,57,36,25,23,30,24,5,44,16,34,9,136,1,ponta criativo,59.0,115,288,60,80,68,63,192,40,965.0,23.076923076923077
Bruno Zapelli,Ath Paranaense,"MF,FW",21,1412,0,5,3.7,4.7,8.4,37,82,93,18,47,49,30,7,55,30,24,8,116,1,ponta criativo,84.0,235,744,98,150,48,56,240,56,1711.0,43.00213675213676
Christian,Ath Paranaense,"MF,FW",23,1507,1,0,1.8,1.8,3.6,15,58,28,28,14,37,11,2,24,9,13,3,102,2,ponta sup,36.0,70,224,74,45,26,21,88,16,600.0,13.327991452991453
Fernandinho,Ath Paranaense,MF,38,1551,1,3,1.6,2.4,3.2,39,168,48,23,37,138,28,3,23,11,30,3,36,0,ponta equilibrado,32.0,185,384,276,55,60,21,224,24,1261.0,30.982905982905983
Filipinho,Ath Paranaense,MF,22,923,0,0,0.6,0.2,0.7,7,16,8,15,5,14,1,1,22,13,7,0,11,2,ponta sup,7.0,25,64,28,65,14,0,8,8,219.0,3.1517094017094016
Gabriel,Ath Paranaense,MF,31,1431,1,2,0.4,0.3,0.8,17,103,6,13,12,90,9,2,5,1,10,0,5,2,ponta sup,8.0,60,48,180,5,20,0,72,16,409.0,8.226495726495726
Gonzalo Mastriani,Ath Paranaense,FW,30,900,4,0,3.9,0.9,4.8,2,17,3,9,9,11,4,0,12,1,4,1,40,2,ponta sup,48.0,45,24,22,5,8,7,32,0,191.0,2.403846153846154
João Machado Cruz,Ath Paranaense,"MF,FW",17,838,1,2,0.7,1.0,1.8,22,37,61,5,23,25,10,4,13,5,18,4,61,2,ponta sup,18.0,115,488,50,25,36,28,80,32,872.0,20.592948717948715
Julimar,Ath Paranaense,"FW,MF",23,1665,6,2,5.7,2.3,8.0,83,43,43,13,27,20,19,8,62,31,48,27,173,4,ponta cross,80.0,135,344,40,155,96,189,152,64,1255.0,30.822649572649574
Lucas Di Yorio,Ath Paranaense,FW,27,799,3,0,4.0,0.2,3.4,15,10,9,12,5,7,2,0,14,7,7,10,47,2,ponta sup,34.0,25,72,14,35,14,70,16,0,280.0,4.780982905982905
Nikão,Ath Paranaense,"FW,MF",31,1624,6,2,3.6,2.9,6.5,32,89,82,35,50,59,22,7,30,14,25,10,135,1,ponta criativo,65.0,250,656,118,70,50,70,176,56,1511.0,37.66025641025641
Pablo,Ath Paranaense,"FW,MF",31,1703,3,2,3.7,1.8,5.6,12,52,4,13,23,20,12,1,10,7,10,5,66,2,ponta sup,56.0,115,32,40,35,20,35,96,8,437.0,8.974358974358974
Tomás Cuello,Ath Paranaense,"FW,MF",23,2010,3,5,2.8,4.2,7.0,102,88,116,40,43,54,30,12,126,64,70,21,188,4,ponta cross,70.0,215,928,108,320,140,147,240,96,2264.0,57.77243589743589
Alejo Cruz,Atl Goianiense,"FW,MF",23,2156,1,2,2.4,3.7,5.3,69,115,181,30,68,86,35,15,60,26,59,8,151,3,ponta fin,53.0,340,1448,172,130,118,56,280,120,2717.0,69.87179487179486
Derek,Atl Goianiense,FW,26,986,3,1,3.8,1.9,4.7,20,17,4,17,14,9,5,0,31,11,8,10,53,2,ponta sup,47.0,70,32,18,55,16,70,40,0,348.0,6.597222222222222
Emiliano Rodríguez,Atl Goianiense,FW,20,1096,0,0,2.8,0.5,3.4,10,13,7,22,11,12,5,1,28,9,11,6,64,2,ponta sup,34.0,55,56,24,45,22,42,40,8,326.0,6.009615384615385
Gabriel Baralhas,Atl Goianiense,MF,25,2452,1,3,2.4,2.4,4.8,22,121,12,34,29,97,19,4,40,15,27,5,59,0,ponta equilibrado,48.0,145,96,194,75,54,35,152,32,831.0,19.497863247863247
Gonzalo Freitas,Atl Goianiense,MF,32,820,0,0,0.5,0.2,0.7,2,27,1,7,1,22,2,0,4,3,3,0,4,2,ponta sup,7.0,5,8,44,15,6,0,16,0,101.0,0.0
Jan Carlos Hurtado,Atl Goianiense,FW,23,865,2,0,1.7,0.6,2.3,9,15,1,10,6,7,2,0,19,8,8,2,41,2,ponta sup,23.0,30,8,14,40,16,14,16,0,161.0,1.6025641025641024
Janderson,Atl Goianiense,"FW,MF",24,962,3,0,2.5,1.0,3.5,35,43,79,26,18,14,17,8,48,14,31,10,116,1,ponta criativo,35.0,90,632,28,70,62,70,136,64,1187.0,29.00641025641026
