jogador,time,posicao,Minutos,Prgc,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels ,Cluster,Perfil,Prgc_Pontuacao,PrgP_Pontuacao,Aerial Duel Won_Pontuacao,Fouls_Pontuacao,Yellow Card_Pontuacao,Red Card_Pontuacao,Desarmes Certos_Pontuacao,Interceptacao_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Fernando,Ath Paranaense,DF,724,14,36,60.0,15,10,13,4,0,0,6,14,42.9,18,0,60.0% (15/10),0,zagueiros defensivos,28,72,150,-39,-20,0,60,90,0,341,9.445037353255069
Kaique Rocha,Ath Paranaense,DF,2486,11,84,76.3,74,23,19,3,0,0,26,40,65.0,37,2,76.3% (74/23),3,zagueiros modernos,22,168,740,-57,-15,0,260,185,-4,1299,60.56563500533618
Leonardo Godoy,Ath Paranaense,DF,1639,16,61,39.4,13,20,32,5,0,0,8,18,44.4,11,0,39.4% (13/20),1,zagueiros fisicos,32,122,130,-96,-25,0,80,55,0,298,7.150480256136606
Lucas Belezi,Ath Paranaense,DF,793,3,15,68.8,22,10,6,2,0,0,7,10,70.0,13,0,68.8% (22/10),0,zagueiros defensivos,6,30,220,-18,-10,0,70,65,0,363,10.618996798292422
Lucas Esquivel,Ath Paranaense,DF,2720,57,178,69.8,37,16,32,5,1,1,33,67,49.3,35,0,69.8% (37/16),4,zagueiros completos,114,356,370,-96,-25,-10,330,175,0,1214,56.029882604055494
Mateo Gamarra,Ath Paranaense,DF,1482,4,59,58.5,48,34,15,7,0,0,17,31,54.8,25,1,58.5% (48/34),3,zagueiros modernos,8,118,480,-45,-35,0,170,125,-2,819,34.95197438633938
Mádson,Ath Paranaense,DF,975,11,34,56.7,34,26,7,3,0,0,3,8,37.5,14,0,56.7% (34/26),0,zagueiros defensivos,22,68,340,-21,-15,0,30,70,0,494,17.6093916755603
Thiago Heleno,Ath Paranaense,DF,2278,0,58,62.5,65,39,23,6,1,0,10,19,52.6,32,1,62.5% (65/39),3,zagueiros modernos,0,116,650,-69,-30,-10,100,160,-2,915,40.07470651013874
Adriano Martins,Atl Goianiense,DF,2990,24,106,58.9,53,37,34,7,0,0,20,33,60.6,54,1,58.9% (53/37),3,zagueiros modernos,48,212,530,-102,-35,0,200,270,-2,1121,51.06723585912487
Alix Vinicius,Atl Goianiense,DF,2042,11,69,60.2,56,37,22,6,2,1,19,30,63.3,33,2,60.2% (56/37),2,zagueiros equilibrados,22,138,560,-66,-30,-20,190,165,-4,955,42.209178228388474
Bruno Tubarão,Atl Goianiense,DF,1586,49,107,59.0,23,16,15,4,1,1,15,26,57.7,16,0,59.0% (23/16),1,zagueiros fisicos,98,214,230,-45,-20,-10,150,80,0,697,28.441835645677692
Guilherme Romão,Atl Goianiense,DF,2766,68,127,55.5,66,53,23,5,0,0,12,23,52.2,30,0,55.5% (66/53),4,zagueiros completos,136,254,660,-69,-25,0,120,150,0,1226,56.670224119530424
Luiz Felipe,Atl Goianiense,DF,1090,2,20,69.2,27,12,21,5,1,0,10,17,58.8,16,0,69.2% (27/12),0,zagueiros defensivos,4,40,270,-63,-25,-10,100,80,0,396,12.379935965848453
Maguinho,Atl Goianiense,DF,1559,29,52,50.9,29,28,32,4,1,0,12,19,63.2,17,0,50.9% (29/28),1,zagueiros fisicos,58,104,290,-96,-20,-10,120,85,0,531,19.583778014941302
Bruno Fuchs,Atlético Mineiro,DF,2031,22,136,61.4,35,22,24,9,1,1,29,38,76.3,29,0,61.4% (35/22),2,zagueiros equilibrados,44,272,350,-72,-45,-10,290,145,0,974,43.22305229455709
Guilherme Arana,Atlético Mineiro,DF,1303,43,94,42.9,12,16,14,5,0,0,10,20,50.0,18,0,42.9% (12/16),1,zagueiros fisicos,86,188,120,-42,-25,0,100,90,0,517,18.836712913553896
Igor Rabello,Atlético Mineiro,DF,966,2,21,62.3,38,23,14,3,1,0,11,17,64.7,15,0,62.3% (38/23),0,zagueiros defensivos,4,42,380,-42,-15,-10,110,75,0,544,20.277481323372466
Júnior Alonso,Atlético Mineiro,DF,1046,16,50,65.6,40,21,16,2,0,0,10,20,50.0,14,0,65.6% (40/21),0,zagueiros defensivos,32,100,400,-48,-10,0,100,70,0,644,25.613660618996796
Lyanco,Atlético Mineiro,DF,920,9,37,44.1,15,19,23,8,1,1,8,11,72.7,18,1,44.1% (15/19),2,zagueiros equilibrados,18,74,150,-69,-40,-10,80,90,-2,291,6.776947705442902
Mariano,Atlético Mineiro,DF,636,6,37,61.5,8,5,7,5,1,1,8,17,47.1,5,0,61.5% (8/5),0,zagueiros defensivos,12,74,80,-21,-25,-10,80,25,0,215,2.72145144076841
Renzo Saravia,Atlético Mineiro,DF,2291,47,157,53.4,31,27,43,3,0,0,45,90,50.0,25,0,53.4% (31/27),4,zagueiros completos,94,314,310,-129,-15,0,450,125,0,1149,52.56136606189968
Gabriel,Bahia,DF,3150,20,115,73.9,136,48,41,8,0,0,29,41,70.7,57,2,73.9% (136/48),3,zagueiros modernos,40,230,1360,-123,-40,0,290,285,-4,2038,100.0
Gilberto,Bahia,DF,1367,62,78,63.3,19,11,11,2,0,0,30,44,68.2,10,0,63.3% (19/11),1,zagueiros fisicos,124,156,190,-33,-10,0,300,50,0,777,32.71077908217716
Kanu,Bahia,DF,2700,18,78,56.5,48,37,34,12,0,0,18,25,72.0,33,2,56.5% (48/37),3,zagueiros modernos,36,156,480,-102,-60,0,180,165,-4,851,36.659551760939166
Luciano Juba,Bahia,DF,3114,46,149,49.2,29,30,7,2,0,0,35,65,53.8,52,0,49.2% (29/30),4,zagueiros completos,92,298,290,-21,-10,0,350,260,0,1259,58.43116328708644
Santiago Arias,Bahia,DF,1884,57,115,45.9,17,20,25,2,1,0,22,36,61.1,20,1,45.9% (17/20),1,zagueiros fisicos,114,230,170,-75,-10,-10,220,100,-2,737,30.57630736392743
Alexander Barboza,Botafogo (RJ),DF,2033,14,90,69.0,78,35,41,11,2,1,17,24,70.8,30,0,69.0% (78/35),2,zagueiros equilibrados,28,180,780,-123,-55,-20,170,150,0,1110,50.480256136606194
Bastos,Botafogo (RJ),DF,2628,12,111,67.9,55,26,35,6,0,0,19,30,63.3,31,1,67.9% (55/26),3,zagueiros modernos,24,222,550,-105,-30,0,190,155,-2,1004,44.823906083244395
Cuiabano,Botafogo (RJ),DF,1476,37,40,57.1,28,21,31,5,0,0,22,33,66.7,23,0,57.1% (28/21),1,zagueiros fisicos,74,80,280,-93,-25,0,220,115,0,651,25.987193169690503
Damián Suárez,Botafogo (RJ),DF,1244,22,37,50.0,8,8,26,5,0,0,19,41,46.3,9,0,50.0% (8/8),0,zagueiros defensivos,44,74,80,-78,-25,0,190,45,0,330,8.858057630736393
Fernando Marçal,Botafogo (RJ),DF,1014,18,59,65.9,27,14,27,5,0,0,10,22,45.5,22,0,65.9% (27/14),0,zagueiros defensivos,36,118,270,-81,-25,0,100,110,0,528,19.423692636072573
Lucas Halter,Botafogo (RJ),DF,1353,8,42,46.2,18,21,19,4,0,0,9,20,45.0,11,2,46.2% (18/21),0,zagueiros defensivos,16,84,180,-57,-20,0,90,55,-4,344,9.6051227321238
Mateo Ponte,Botafogo (RJ),DF,1132,22,45,62.1,18,11,22,3,0,0,12,23,52.2,21,0,62.1% (18/11),0,zagueiros defensivos,44,90,180,-66,-15,0,120,105,0,458,15.688367129135539
André Ramalho,Corinthians,DF,1482,10,53,54.5,24,20,23,5,1,0,13,23,56.5,25,0,54.5% (24/20),0,zagueiros defensivos,20,106,240,-69,-25,-10,130,125,0,517,18.836712913553896
Cacá,Corinthians,DF,2298,9,45,61.3,65,41,29,4,1,0,22,27,81.5,13,2,61.3% (65/41),3,zagueiros modernos,18,90,650,-87,-20,-10,220,65,-4,922,40.44823906083244
Fagner,Corinthians,DF,913,14,39,20.0,1,4,5,4,1,1,12,24,50.0,11,1,20.0% (1/4),1,zagueiros fisicos,28,78,10,-15,-20,-10,120,55,-2,244,4.268943436499466
