jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas,Cluster,Perfil,PrgR_Pontuacao,xG_Pontuacao,xAG_Pontuacao,G-PK_Pontuacao,Assistencias_Pontuacao,Acoes Ofensivas_Pontuacao,Aerial Duel%_Pontuacao,Pontuacao_Total,Pontuacao
Agustín Canobbio,Ath Paranaense,"FW,MF",1215,136,3.5,2.5,4,1,47,57,62.5,7,7,50.0% (7/7),25.365853658536587,4,ata mobilidade,544,17.5,10.0,40.0,3,50.73170731707317,125.0,790.2317073170732,45.00380034159987
Bruno Zapelli,Ath Paranaense,"MF,FW",1412,116,3.7,4.7,0,5,37,82,23.75,4,17,19.0% (4/17),29.024390243902438,2,ata fin_criador,464,18.5,18.8,0.0,15,58.048780487804876,47.5,621.8487804878049,33.10519793661272
Christian,Ath Paranaense,"MF,FW",1507,102,1.8,1.8,1,0,15,58,56.875,15,18,45.5% (15/18),17.804878048780488,0,ata gol,408,9.0,7.2,10.0,0,35.609756097560975,113.75,583.5597560975609,30.3995443037102
Fernandinho,Ath Paranaense,MF,1551,36,1.6,2.4,1,3,39,168,74.25,19,13,59.4% (19/13),50.48780487804878,4,ata mobilidade,144,8.0,9.6,10.0,9,100.97560975609755,148.5,430.07560975609755,19.55374855009643
Filipinho,Ath Paranaense,MF,923,11,0.6,0.2,0,0,7,16,55.49999999999999,8,10,44.4% (8/10),5.609756097560976,0,ata gol,44,3.0,0.8,0.0,0,11.219512195121952,110.99999999999999,170.01951219512193,1.1771579649472328
Gabriel,Ath Paranaense,MF,1431,5,0.4,0.3,1,2,17,103,49.375,17,26,39.5% (17/26),29.268292682926827,0,ata gol,20,2.0,1.2,10.0,6,58.536585365853654,98.75,196.48658536585367,3.0474258502510296
Gonzalo Mastriani,Ath Paranaense,FW,900,40,3.9,0.9,4,0,2,17,60.5,30,32,48.4% (30/32),4.634146341463414,1,ata criador sec,160,19.5,3.6,40.0,0,9.268292682926829,121.0,353.36829268292684,14.133306676364288
João Machado Cruz,Ath Paranaense,"MF,FW",838,61,0.7,1.0,1,2,22,37,57.75,6,7,46.2% (6/7),14.390243902439023,0,ata gol,244,3.5,4.0,10.0,6,28.780487804878046,115.5,411.780487804878,18.260943001770045
Julimar,Ath Paranaense,"FW,MF",1665,173,5.7,2.3,6,2,83,43,73.625,53,37,58.9% (53/37),30.73170731707317,3,ata aerea,692,28.5,9.2,60.0,6,61.46341463414634,147.25,1004.4134146341463,60.13872539472709
Lucas Di Yorio,Ath Paranaense,FW,799,47,4.0,0.2,3,0,15,10,47.75,26,42,38.2% (26/42),6.097560975609756,1,ata criador sec,188,20.0,0.8,30.0,0,12.195121951219512,95.5,346.4951219512195,13.647621296390453
Nikão,Ath Paranaense,"FW,MF",1624,135,3.6,2.9,6,2,32,89,55.75,25,31,44.6% (25/31),29.51219512195122,4,ata mobilidade,540,18.0,11.6,60.0,6,59.02439024390244,111.5,806.1243902439024,46.12684006335627
Pablo,Ath Paranaense,"FW,MF",1703,66,3.7,1.8,3,2,12,52,43.875,40,74,35.1% (40/74),15.609756097560975,1,ata criador sec,264,18.5,7.2,30.0,6,31.21951219512195,87.75,444.66951219512197,20.585011314849254
Tomás Cuello,Ath Paranaense,"FW,MF",2010,188,2.8,4.2,3,5,102,88,50.0,18,27,40.0% (18/27),46.34146341463415,2,ata fin_criador,752,14.0,16.8,30.0,15,92.6829268292683,100.0,1020.4829268292683,61.27426057072341
Alejo Cruz,Atl Goianiense,"FW,MF",2156,151,2.4,3.7,1,2,69,115,59.5,20,22,47.6% (20/22),44.87804878048781,4,ata mobilidade,604,12.0,14.8,10.0,6,89.75609756097562,119.0,855.5560975609756,49.61987966446689
Derek,Atl Goianiense,FW,986,53,3.8,1.9,3,1,20,17,30.874999999999996,20,61,24.7% (20/61),9.024390243902438,1,ata criador sec,212,19.0,7.6,30.0,3,18.048780487804876,61.74999999999999,351.39878048780486,13.99413316879549
