jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros,Cluster,Perfil,Amarelo_Pontuacao,Vermelho_Pontuacao,Falta Cometida_Pontuacao,interceptacao_Pontuacao,recuperacoes_Pontuacao,Duelos Aereoes W_Pontuacao,Divididas Ganhas_Pontuacao,Clearence_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Fernandinho,Ath Paranaense,MF,38,1551,39,168,8,0,0,34,10,99,19,13,59.4,30,22,24,0,1,volante criativo,-40,0,-68,20,198,76,132,120,0,438,33.16481294236603
Filipinho,Ath Paranaense,MF,22,923,7,16,3,0,0,22,21,43,8,10,44.4,53,35,21,0,0,volante equilibrado,-15,0,-44,42,86,32,210,105,0,416,30.940343781597573
Gabriel,Ath Paranaense,MF,31,1431,17,103,3,0,0,22,21,101,17,26,39.5,48,28,27,1,0,volante equilibrado,-15,0,-44,42,202,68,168,135,1,557,45.19716885743175
Gabriel Baralhas,Atl Goianiense,MF,25,2452,22,121,9,0,0,29,39,130,31,33,48.4,56,32,31,2,2,volante defensivos,-45,0,-58,78,260,124,192,155,2,708,60.46511627906976
Gonzalo Freitas,Atl Goianiense,MF,32,820,2,27,7,0,0,24,13,31,30,13,69.8,21,11,28,0,0,volante equilibrado,-35,0,-48,26,62,120,66,140,0,331,22.345803842264914
Rhaldney,Atl Goianiense,MF,25,2157,40,132,10,0,0,57,12,153,26,26,50.0,67,46,21,0,2,volante defensivos,-50,0,-114,24,306,104,276,105,0,651,54.70171890798786
Alan Franco,Atlético Mineiro,MF,25,1631,5,50,5,0,0,33,25,68,26,14,65.0,29,17,16,0,0,volante equilibrado,-25,0,-66,50,136,104,102,80,0,381,27.401415571284126
Fausto Vera,Atlético Mineiro,MF,23,1654,19,77,1,0,0,29,13,73,16,13,55.2,35,16,28,0,0,volante equilibrado,-5,0,-58,26,146,64,96,140,0,409,30.23255813953488
Federico Zaracho,Atlético Mineiro,MF,25,874,6,28,2,0,0,10,13,44,8,13,38.1,22,13,5,0,4,volante reserva,-10,0,-20,26,88,32,78,25,0,219,11.02123356926188
Igor Gomes,Atlético Mineiro,MF,24,1321,21,83,8,0,0,23,9,77,10,15,40.0,16,12,9,0,4,volante reserva,-40,0,-46,18,154,40,72,45,0,243,13.447927199191101
